model,chart number,cost
dp,1,3414.295
dp,2,3426.359
dp,3,3424.37
dp,4,3440.453
dp,5,3386.686
dp,6,3462.954
dp,7,3426.477
dp,8,3385.714
dp,9,3424.334
dp,10,3416.44
dp,11,3396.599
dp,12,3421.966
dp,13,3427.562
dp,14,3414.641
dp,15,3459.482
dp,16,3500.339
dp,17,3495.823
dp,18,3454.98
dp,19,3470.067
dp,20,3423.614
dp,1,3244.168
dp,2,3282.891
dp,3,3281.756
dp,4,3292.607
dp,5,3257.028
dp,6,3163.164
dp,7,3270.159
dp,8,3220.172
dp,9,3254.482
dp,10,3270.46
dp,11,3245.172
dp,12,3215.8
dp,13,3235.221
dp,14,3298.348
dp,15,3277.657
dp,16,3226.137
dp,17,3217.131
dp,18,3212.453
dp,19,3277.001
dp,20,3229.536
dp,1,2896.495
dp,2,2948.289
dp,3,2826.684
dp,4,2926.986
dp,5,2933.175
dp,6,2916.071
dp,7,2928.063
dp,8,2919.19
dp,9,2972.821
dp,10,2935.557
dp,11,2941.774
dp,12,2882.06
dp,13,2953.672
dp,14,2916.732
dp,15,2954.097
dp,16,2924.955
dp,17,2916.299
dp,18,2909.5
dp,19,2919.328
dp,20,2846.093
dp,1,2276.238
dp,2,2448.152
dp,3,2433.707
dp,4,2404.814
dp,5,2441.729
dp,6,2397.712
dp,7,2472.825
dp,8,2417.243
dp,9,2549.096
dp,10,2367.715
dp,11,2349.432
dp,12,2451.971
dp,13,2451.932
dp,14,2492.932
dp,15,2429.542
dp,16,2480.157
dp,17,2474.853
dp,18,2466.27
dp,19,2471.685
dp,20,2421.153
dp,1,1052.372
dp,2,1238.171
dp,3,1463.3
dp,4,699.572
dp,5,1389.809
dp,6,1209.95
dp,7,1277.45
dp,8,1365.145
dp,9,1351.221
dp,10,1287.77
dp,11,1341.931
dp,12,1310.71
dp,13,1470.946
dp,14,970.513
dp,15,1110.619
dp,16,1333.748
dp,17,1199.123
dp,18,1081.849
dp,19,1343.715
dp,20,770.953
f1s,1,3616.15
f1s,2,3639.002
f1s,3,3626.892
f1s,4,3647.858
f1s,5,3602.2
f1s,6,3677.716
f1s,7,3636.726
f1s,8,3604.936
f1s,9,3647.063
f1s,10,3631.511
f1s,11,3590.799
f1s,12,3649.095
f1s,13,3639.587
f1s,14,3616.954
f1s,15,3662.626
f1s,16,3702.962
f1s,17,3698.781
f1s,18,3665.094
f1s,19,3677.644
f1s,20,3636.283
f1s,1,3502.005
f1s,2,3533.977
f1s,3,3538.172
f1s,4,3526.847
f1s,5,3505.676
f1s,6,3435.244
f1s,7,3512.083
f1s,8,3474.88
f1s,9,3494.325
f1s,10,3507.812
f1s,11,3487.581
f1s,12,3472.588
f1s,13,3484.914
f1s,14,3541.199
f1s,15,3524.16
f1s,16,3485.074
f1s,17,3493.752
f1s,18,3463.937
f1s,19,3517.165
f1s,20,3488.531
f1s,1,3284.873
f1s,2,3290.761
f1s,3,3186.925
f1s,4,3238.514
f1s,5,3260.653
f1s,6,3263.157
f1s,7,3250.794
f1s,8,3234.982
f1s,9,3309.155
f1s,10,3264.65
f1s,11,3272.518
f1s,12,3224.121
f1s,13,3271.33
f1s,14,3246.468
f1s,15,3294.658
f1s,16,3286.02
f1s,17,3241.054
f1s,18,3251.711
f1s,19,3247.172
f1s,20,3207.982
f1s,1,2792.274
f1s,2,2954.986
f1s,3,2957.141
f1s,4,2928.81
f1s,5,2980.302
f1s,6,2916.916
f1s,7,2962.963
f1s,8,2891.071
f1s,9,2985.279
f1s,10,2831.812
f1s,11,2885.409
f1s,12,2988.656
f1s,13,2929.252
f1s,14,2990.449
f1s,15,2887.876
f1s,16,2942.207
f1s,17,2969.168
f1s,18,2956.602
f1s,19,2945.345
f1s,20,2936.539
f1s,1,1878.329
f1s,2,2071.179
f1s,3,2094.984
f1s,4,1293.185
f1s,5,2189.451
f1s,6,1938.987
f1s,7,2060.197
f1s,8,2205.267
f1s,9,2029.149
f1s,10,2096.721
f1s,11,2216.566
f1s,12,1904.253
f1s,13,2162.264
f1s,14,1692.272
f1s,15,1800.766
f1s,16,2195.772
f1s,17,1903.069
f1s,18,1870.079
f1s,19,2053.293
f1s,20,1516.257
f2s,1,3489.417
f2s,2,3516.935
f2s,3,3495.667
f2s,4,3524.598
f2s,5,3539.023
f2s,6,3613.741
f2s,7,3601.707
f2s,8,3498.657
f2s,9,3578.974
f2s,10,3571.621
f2s,11,3452.947
f2s,12,3539.146
f2s,13,3652.683
f2s,14,3526.037
f2s,15,3531.138
f2s,16,3605.615
f2s,17,3570.589
f2s,18,3600.474
f2s,19,3593.793
f2s,20,3582.151
f2s,1,3346.511
f2s,2,3359.228
f2s,3,3548.522
f2s,4,3342.486
f2s,5,3425.934
f2s,6,3358.678
f2s,7,3327.996
f2s,8,3298.017
f2s,9,3421.577
f2s,10,3384.855
f2s,11,3406.299
f2s,12,3433.281
f2s,13,3385.197
f2s,14,3463.795
f2s,15,3435.942
f2s,16,3331.235
f2s,17,3404.814
f2s,18,3459.745
f2s,19,3380.56
f2s,20,3388.396
f2s,1,3203.301
f2s,2,2998.611
f2s,3,2997.529
f2s,4,3075.059
f2s,5,3093.817
f2s,6,3112.92
f2s,7,3051.647
f2s,8,3012.854
f2s,9,3069.79
f2s,10,3087.918
f2s,11,3065.576
f2s,12,3039.37
f2s,13,3092.404
f2s,14,3052.924
f2s,15,3209.275
f2s,16,3078.189
f2s,17,3034.125
f2s,18,3021.827
f2s,19,3065.343
f2s,20,3216.811
f2s,1,2421.63
f2s,2,2561.713
f2s,3,2658.06
f2s,4,2535.408
f2s,5,2577.674
f2s,6,2511.18
f2s,7,2680.356
f2s,8,2483.325
f2s,9,2664.838
f2s,10,2490.776
f2s,11,2715.086
f2s,12,2760.552
f2s,13,2600.901
f2s,14,2808.633
f2s,15,2573.192
f2s,16,2584.94
f2s,17,2598.069
f2s,18,2625.755
f2s,19,2557.687
f2s,20,2553.256
f2s,1,1323.516
f2s,2,1350.385
f2s,3,1733.717
f2s,4,919.484
f2s,5,1631.778
f2s,6,1511.316
f2s,7,1648.901
f2s,8,1628.705
f2s,9,1490.155
f2s,10,1455.362
f2s,11,1470.134
f2s,12,1584.86
f2s,13,1761.096
f2s,14,1161.44
f2s,15,1209.326
f2s,16,1630.529
f2s,17,1425.176
f2s,18,1238.198
f2s,19,1704.616
f2s,20,937.218
