model;size;cluster_prob;pattern_id;cost;time_s;loose_ends;skeins_used;cuts;floats
dp;100x100;0.25;2;13531.204;18.50479;14;4;3;4319
dp;100x100;0.25;3;13528.216;18.65583;8;4;0;4323
dp;100x100;0.25;4;13459.232;18.85596;8;4;0;4332
dp;100x100;0.25;5;13434.034;17.4319;10;4;1;4238
dp;100x100;0.25;6;13530.758;18.67667;10;4;1;4329
dp;100x100;0.25;7;13517.577;18.16561;12;4;2;4292
dp;100x100;0.25;8;13485.848;18.40623;10;4;1;4315
dp;100x100;0.25;9;13452.978;17.79945;12;4;2;4289
dp;100x100;0.25;10;13560.461;19.22921;8;4;0;4350
dp;100x100;0.25;11;13539.598;18.8122;8;4;0;4354
dp;100x100;0.25;12;13466.813;19.01107;8;4;0;4309
dp;100x100;0.25;13;13605.961;19.80555;8;4;0;4433
dp;100x100;0.25;14;13648.167;19.08938;10;4;1;4397
dp;100x100;0.25;15;13573.852;19.08556;16;4;4;4364
dp;100x100;0.25;16;13463.875;20.32141;8;4;0;4248
dp;100x100;0.25;17;13553.93;18.81426;8;4;0;4362
dp;100x100;0.25;18;13577.434;19.07905;16;4;4;4359
dp;100x100;0.25;19;13659.222;19.79536;8;4;0;4450
dp;100x100;0.25;20;13584.697;19.11717;10;4;1;4353
dp;25x25;0.5;1;632.525;0.06699;8;4;0;204
dp;25x25;0.5;2;701.732;0.06405;8;4;0;225
dp;25x25;0.5;3;658.114;0.04429;8;4;0;210
dp;25x25;0.5;4;713.515;0.06557;8;4;0;226
dp;25x25;0.5;5;712.509;0.04944;8;4;0;227
dp;25x25;0.5;6;682.485;0.04651;8;4;0;221
dp;25x25;0.5;7;684.394;0.05519;8;4;0;221
dp;25x25;0.5;8;691.434;0.05384;8;4;0;227
dp;25x25;0.5;9;694.971;0.06013;8;4;0;221
dp;25x25;0.5;10;726.716;0.05989;8;4;0;243
dp;25x25;0.5;11;722.005;0.06391;8;4;0;238
dp;25x25;0.5;12;661.767;0.04807;8;4;0;213
dp;25x25;0.5;13;652.322;0.05019;8;4;0;219
dp;25x25;0.5;14;659.088;0.04268;8;4;0;210
dp;25x25;0.5;15;666.463;0.04619;8;4;0;219
dp;25x25;0.5;16;703.428;0.05142;8;4;0;232
dp;25x25;0.5;17;699.607;0.05305;8;4;0;231
dp;25x25;0.5;18;660.659;0.04414;8;4;0;212
dp;25x25;0.5;19;725.443;0.06091;8;4;0;241
dp;25x25;0.5;20;695.493;0.05371;8;4;0;223
dp;50x50;0.5;1;2896.495;0.74264;8;4;0;908
dp;50x50;0.5;2;2948.289;0.68921;8;4;0;901
dp;50x50;0.5;3;2826.684;0.67309;8;4;0;843
dp;50x50;0.5;4;2926.986;0.79974;8;4;0;882
dp;50x50;0.5;5;2933.175;0.70742;8;4;0;906
dp;50x50;0.5;6;2916.071;0.7164;10;4;1;887
dp;50x50;0.5;7;2928.063;0.64915;10;4;1;895
dp;50x50;0.5;8;2919.19;0.63079;8;4;0;877
dp;50x50;0.5;9;2972.821;0.74857;8;4;0;919
dp;50x50;0.5;10;2935.557;0.68595;8;4;0;921
dp;50x50;0.5;11;2941.774;0.67218;10;4;1;906
dp;50x50;0.5;12;2882.06;0.66854;8;4;0;881
dp;50x50;0.5;13;2953.672;0.70655;10;4;1;907
dp;50x50;0.5;14;2916.732;0.658;10;4;1;890
dp;50x50;0.5;15;2954.097;0.71678;8;4;0;926
dp;50x50;0.5;16;2924.955;0.66938;8;4;0;903
dp;50x50;0.5;17;2916.299;0.71464;8;4;0;893
dp;50x50;0.5;18;2909.5;0.7298;8;4;0;900
dp;50x50;0.5;19;2919.328;0.68009;8;4;0;872
dp;50x50;0.5;20;2846.093;0.6558;10;4;1;856
dp;100x100;0.5;1;12511.984;12.12479;22;4;7;3577
dp;100x100;0.5;2;12520.563;12.37842;14;4;3;3638
dp;100x100;0.5;3;12610.665;12.44069;10;4;1;3689
dp;100x100;0.5;4;12608.45;12.33223;14;4;3;3631
dp;100x100;0.5;5;12538.01;11.85854;14;4;3;3564
dp;100x100;0.5;6;12500.569;12.07563;16;4;4;3599
dp;100x100;0.5;7;12476.897;12.14386;16;4;4;3610
dp;100x100;0.5;8;12332.635;11.35705;16;4;4;3505
dp;100x100;0.5;9;12487.249;12.57197;12;4;2;3649
dp;100x100;0.5;10;12510.008;12.20423;16;4;4;3625
dp;100x100;0.5;11;12530.67;12.08085;12;4;2;3617
dp;100x100;0.5;12;12693.259;13.22687;14;4;3;3724
dp;100x100;0.5;13;12533.883;11.7428;12;4;2;3601
dp;100x100;0.5;14;12587.168;12.74538;14;4;3;3677
dp;100x100;0.5;15;12536.598;12.03047;22;4;7;3581
dp;100x100;0.5;16;12622.412;13.02351;14;4;3;3722
dp;100x100;0.5;17;12594.57;12.51407;12;4;2;3657
dp;100x100;0.5;18;12651.898;12.49732;18;4;5;3657
dp;100x100;0.5;19;12473.945;11.93554;14;4;3;3585
dp;100x100;0.5;20;12666.046;13.56537;16;4;4;3727
dp;25x25;0.75;1;571.857;0.05085;8;4;0;179
dp;25x25;0.75;2;493.494;0.03097;8;4;0;149
dp;25x25;0.75;3;407.146;0.02281;8;4;0;118
dp;25x25;0.75;4;480.16;0.0369;8;4;0;144
dp;25x25;0.75;5;537;0.03125;8;4;0;162
dp;25x25;0.75;6;528.455;0.03191;8;4;0;167
dp;25x25;0.75;7;475.334;0.02987;8;4;0;139
dp;25x25;0.75;8;586.998;0.03904;8;4;0;186
dp;25x25;0.75;9;584.441;0.04505;8;4;0;182
dp;25x25;0.75;10;584.873;0.04062;8;4;0;180
dp;25x25;0.75;11;449.102;0.02539;8;4;0;136
dp;25x25;0.75;12;605.37;0.04302;8;4;0;183
dp;25x25;0.75;13;521.181;0.0411;8;4;0;161
dp;25x25;0.75;14;538.253;0.03379;8;4;0;163
dp;25x25;0.75;15;507.238;0.03067;8;4;0;155
dp;25x25;0.75;16;546.777;0.04345;8;4;0;184
dp;25x25;0.75;17;524.88;0.0289;8;4;0;153
dp;25x25;0.75;18;498.793;0.03919;8;4;0;149
dp;25x25;0.75;19;494.518;0.02908;8;4;0;147
dp;25x25;0.75;20;525.897;0.0285;8;4;0;155
dp;50x50;0.75;1;2276.238;0.34606;12;4;2;631
dp;50x50;0.75;2;2448.152;0.37044;10;4;1;658
dp;50x50;0.75;3;2433.707;0.38854;10;4;1;668
dp;50x50;0.75;4;2404.814;0.35176;10;4;1;645
dp;50x50;0.75;5;2441.729;0.40236;8;4;0;674
dp;50x50;0.75;6;2397.712;0.38687;10;4;1;650
dp;50x50;0.75;7;2472.825;0.37833;16;4;4;659
dp;50x50;0.75;8;2417.243;0.34527;12;4;2;638
dp;50x50;0.75;9;2549.096;0.46675;10;4;1;710
dp;50x50;0.75;10;2367.715;0.38275;8;4;0;643
dp;50x50;0.75;11;2349.432;0.34828;8;4;0;627
dp;50x50;0.75;12;2451.971;0.36219;12;4;2;654
dp;50x50;0.75;13;2451.932;0.40025;10;4;1;669
dp;50x50;0.75;14;2492.932;0.40862;14;4;3;678
dp;50x50;0.75;15;2429.542;0.3659;10;4;1;647
dp;50x50;0.75;16;2480.157;0.42667;8;4;0;678
dp;50x50;0.75;17;2474.853;0.37911;12;4;2;660
dp;50x50;0.75;18;2466.27;0.38207;8;4;0;669
dp;50x50;0.75;19;2471.685;0.38087;10;4;1;667
dp;50x50;0.75;20;2421.153;0.43654;8;4;0;677
dp;100x100;0.75;1;10947.11;6.303;24;4;8;2676
dp;100x100;0.75;2;10965.676;7.3983;32;4;12;2712
dp;100x100;0.75;3;10873.954;6.76205;28;4;10;2706
dp;100x100;0.75;4;10920.396;6.55074;32;4;12;2694
dp;100x100;0.75;5;11027.806;6.60028;30;4;11;2668
dp;100x100;0.75;6;10786.452;6.11052;26;4;9;2586
dp;100x100;0.75;7;11059.635;6.74895;32;4;12;2705
dp;100x100;0.75;8;10766.051;6.08286;26;4;9;2614
dp;100x100;0.75;9;10873.27;6.85433;34;4;13;2669
dp;100x100;0.75;10;10828.345;6.40816;30;4;11;2640
dp;100x100;0.75;11;11069.748;6.75355;28;4;10;2707
dp;100x100;0.75;12;11091.303;7.04409;28;4;10;2735
dp;100x100;0.75;13;11035.883;6.69981;28;4;10;2718
dp;100x100;0.75;14;11139.168;6.74565;36;4;14;2725
dp;100x100;0.75;15;11006.411;7.03603;34;4;13;2753
dp;100x100;0.75;16;10918.598;6.63171;30;4;11;2676
dp;100x100;0.75;17;11088.288;6.88008;30;4;11;2754
dp;100x100;0.75;18;11045.909;7.03805;30;4;11;2736
dp;100x100;0.75;19;11078.015;7.38385;24;4;8;2793
dp;100x100;0.75;20;11050.882;6.72651;34;4;13;2725
dp;25x25;0.95;1;293.394;0.03048;8;4;0;87
dp;25x25;0.95;2;266.054;0.01475;8;4;0;79
dp;25x25;0.95;3;216.761;0.01258;8;4;0;49
dp;25x25;0.95;4;257.882;1.92563;8;4;0;73
dp;25x25;0.95;5;272.067;0.01976;8;4;0;70
dp;25x25;0.95;6;228.227;0.01255;8;4;0;59
dp;25x25;0.95;7;277.605;0.01442;8;4;0;78
